delay_fs,phase_rad,opl_nm,transmittance
-1.750000000000000000e+02,4.830460030349824720e-04,3.959276694875707436e-02,1.014522289963302626e+00
-1.420000000000000000e+02,-4.620644848423501733e-03,-3.787302109678313822e-01,1.016875181559089736e+00
-1.090000000000000000e+02,-5.720809583839578556e-03,-4.689049887341121270e-01,1.023297780912628685e+00
-7.600000000000000000e+01,-2.899609389855739312e-03,-2.376658912270760149e-01,1.015752518358149947e+00
-4.300000000000000000e+01,1.237749716855881307e-03,1.014519026603268037e-01,1.016883396834141751e+00
-1.000000000000000000e+01,-6.263535260888677611e-03,-5.133893879704208851e-01,1.001514178364451002e+00
2.300000000000000000e+01,-1.327850523981525697e-03,-1.088369969080938970e-01,9.714672469699686674e-01
5.600000000000000000e+01,-9.381907045070526181e-04,-7.689860941536005856e-02,9.973022788137246852e-01
8.900000000000000000e+01,3.532505258650622208e-03,2.895410718073658241e-01,9.846134551185423689e-01
1.220000000000000000e+02,1.873394193031796941e-03,1.535523722830413607e-01,9.715498014683006112e-01
1.550000000000000000e+02,3.552541282003366611e-03,2.911833203679601856e-01,1.005174223345835172e+00
1.880000000000000000e+02,-1.196482131299491042e-03,-9.806941344148167872e-02,9.886362878897386741e-01
2.210000000000000000e+02,4.360478431057821479e-03,3.574057237224489980e-01,9.794110132454911799e-01
2.540000000000000000e+02,1.382421924114366797e-02,1.133099305706264159e+00,9.791471503606786753e-01
2.870000000000000000e+02,2.363025269607032727e-02,1.936848834391442509e+00,1.005376838236707648e+00
3.200000000000000000e+02,1.532189793687036700e-02,1.255856234014252504e+00,1.007181047948304542e+00
3.530000000000000000e+02,4.162752313380091440e-02,3.411991428839570517e+00,1.026273768673408915e+00
3.860000000000000000e+02,3.932194528946730133e-02,3.223015211876012032e+00,9.969464049219107782e-01
4.190000000000000000e+02,4.595928086657343620e-02,3.767043066394923923e+00,1.017311818720336269e+00
4.520000000000000000e+02,6.230842519702926852e-02,5.107097341185087735e+00,1.024465668038972987e+00
4.850000000000000000e+02,8.802608642537858297e-02,7.215040189451195296e+00,1.019569224244867067e+00
5.180000000000000000e+02,1.280893593330213187e-01,1.049881816809203627e+01,9.484421516843253297e-01
5.510000000000000000e+02,8.868446909878809070e-02,7.269004390764573387e+00,1.008392339384941438e+00
5.840000000000000000e+02,7.305842151698484221e-02,5.988218593243503918e+00,9.849322195136172020e-01
6.170000000000000000e+02,9.443122077997880004e-02,7.740035718207901816e+00,9.865987271707931106e-01
6.500000000000000000e+02,1.320765863064088108e-01,1.082563041234467427e+01,9.865496928941253074e-01
6.830000000000000000e+02,1.599715038369188269e-01,1.311203162858721250e+01,9.875311351338056376e-01
7.160000000000000000e+02,6.427009309980863394e-02,5.267885050052592000e+00,9.645842775886518394e-01
7.490000000000000000e+02,2.057940946777512756e-02,1.686787092494909546e+00,9.431779458611807554e-01
7.820000000000000000e+02,6.764933967360175354e-03,5.544864305067538357e-01,9.128976566391117098e-01
8.150000000000000000e+02,3.573049086643668298e-02,2.928642383854006770e+00,9.512983032869231081e-01
8.480000000000000000e+02,5.511619076398253936e-02,4.517587315309099516e+00,9.405338875305293556e-01
8.810000000000000000e+02,9.338782210602896566e-03,7.654513759071959189e-01,9.705181543864730420e-01
9.140000000000000000e+02,-4.412885852054374003e-02,-3.617012872771931953e+00,9.389674379696069106e-01
